Intel 80386 Opcode*;;Custom Opcode;;;;HEX;Instruction;;Operand 1;;Operand Type;;Operand 2;;Operand Type;;Notes;;;;;;;;
;;0000;0110;0011;0100;0634;SUB;;general register;;;;(Index*Scale)+Disp;;word;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;0000;0110;0011;1000;0638;SUB;;general register;;;;register;;double word;;;;;;;;;;
;;0000;0110;0011;1001;0639;SUB;;general register;;;;displacement;;double word;;address is in displacement;;;;;;;;
;;0000;0110;0011;1010;063A;SUB;;general register;;;;base reg;;double word;;address is in base register (general);;;;;;;;
;;0000;0110;0011;1011;063B;SUB;;general register;;;;base + displacement;;double word;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0110;0011;1100;063C;SUB;;general register;;;;(Index*Scale)+Disp;;double word;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0010;1100;0000;0110;0100;0000;0640;SUB;;AL;;byte;;immediate;;byte;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0010;1101;0000;0110;0101;0000;0650;SUB;;AX;;word;;immediate;;word;;;;;;;;;;
;;0000;0110;0101;0001;0651;SUB;;EAX;;double-word;;immediate;;double word;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0100;0000;0000;0111;0000;0000;0700;INC;;EAX;;;;N/A;;N/A;;;;;;;;;;
